price,carat,clarity,cut,color,depth,table,x,y,z,date
580,0.32,VS1,Ideal,H,61,56,4.43,4.45,2.71,2012-02-26
650,0.34,SI1,Very Good,G,63.4,57,4.45,4.42,2.81,2012-02-26
630,0.3,VS2,Very Good,G,63.1,58,4.27,4.23,2.68,2012-02-26
706,0.35,VVS2,Ideal,H,59.2,56,4.6,4.65,2.74,2012-02-26
1080,0.4,VS2,Premium,F,62.6,58,4.72,4.68,2.94,2012-02-26
3082,0.6,VVS1,Ideal,E,62.5,53.7,5.35,5.43,3.38,2012-02-26
3328,0.88,SI1,Ideal,I,61.7,56,6.14,6.18,3.8,2012-02-26
4229,0.93,SI1,Premium,E,61.4,57,6.34,6.23,3.86,2012-02-26
1895,0.51,VVS2,Very Good,G,63.4,57,5.09,5.06,3.22,2012-02-26
3546,1.01,SI2,Good,E,63.9,58,6.31,6.37,4.05,2012-02-26
752,0.3,VVS2,Good,D,63.6,55,4.25,4.31,2.72,2012-02-26
13003,2.01,VS2,Premium,I,59.5,60,8.26,8.21,4.9,2012-02-26
814,0.3,VVS2,Ideal,D,62.4,54,4.3,4.32,2.69,2012-02-26
6115,1,VS2,Very Good,D,63.4,57,6.36,6.32,4.02,2012-02-26
645,0.32,VS1,Premium,G,61.4,58,4.36,4.4,2.69,2012-02-26
3749,1.01,SI2,Premium,I,61.7,60,6.34,6.4,3.93,2012-02-26
2926,0.81,SI2,Good,D,63.6,55,5.91,5.86,3.74,2012-02-26
765,0.4,SI1,Ideal,I,61.6,56,4.74,4.68,2.9,2012-02-26
1140,0.31,VVS1,Ideal,F,60.6,56,4.44,4.41,2.68,2012-02-26
1158,0.4,VVS2,Ideal,E,61.7,55,4.74,4.76,2.93,2012-02-26
521,0.31,SI1,Good,H,64,54,4.31,4.29,2.75,2012-02-26
6122,1.04,VS2,Premium,G,60,58,6.62,6.54,3.95,2012-02-26
5096,1.21,VS2,Premium,J,61.9,59,6.84,6.77,4.21,2012-02-26
9465,1.04,VVS2,Ideal,G,61.7,56,6.5,6.54,4.02,2012-02-26
3225,0.68,VVS1,Good,G,61.9,55,5.63,5.68,3.5,2012-02-26
743,0.33,SI1,Premium,E,60.2,58,4.55,4.49,2.72,2012-02-26
1273,0.55,SI2,Ideal,E,62,56,5.27,5.22,3.25,2012-02-26
3830,1.14,SI2,Premium,H,62.2,61,6.72,6.64,4.16,2012-02-26
16386,2.02,SI1,Fair,D,65,55,7.94,7.84,5.13,2012-02-26
1866,0.59,IF,Premium,I,61.2,58,5.38,5.41,3.3,2012-02-26
709,0.3,SI1,Ideal,D,62.2,56,4.3,4.25,2.66,2012-02-26
8167,1.22,VS1,Ideal,H,62.6,56,6.83,6.87,4.29,2012-02-26
658,0.3,VS2,Very Good,E,61.8,58,4.26,4.28,2.64,2012-02-26
4502,0.9,SI1,Premium,E,62.3,56,6.21,6.14,3.85,2012-02-26
1970,0.61,VVS2,Very Good,H,60.5,57,5.52,5.54,3.35,2012-02-26
596,0.34,VS2,Ideal,G,61.8,56,4.48,4.52,2.78,2012-02-26
15938,2.06,SI2,Very Good,G,59,58,8.3,8.38,4.92,2012-02-26
18080,2.32,SI1,Ideal,H,62.6,57,8.46,8.52,5.32,2012-02-26
802,0.31,VS2,Ideal,F,62,56,4.39,4.35,2.71,2012-02-26
545,0.3,VS1,Ideal,H,61.4,57,4.31,4.32,2.65,2012-02-26
